t,event_type,task_id,robot_id,payload_json
26.000,ANNOUNCE,survey-20-0006,r06,"{""deadline"":27.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[0.2,1.8],""sender"":""r06"",""t"":26.0,""t_ref"":0.0,""task_id"":""survey-20-0006"",""type"":""survey""}"
26.100,RELEASE,survey-19-0005,r01,"{""reason"":""preempted"",""sender"":""r01"",""t"":26.1,""task_id"":""survey-19-0005""}"
26.100,RELEASE,survey-14-0000,r03,"{""reason"":""preempted"",""sender"":""r03"",""t"":26.1,""task_id"":""survey-14-0000""}"
26.200,ANNOUNCE,survey-14-0000,r00,"{""deadline"":27.2,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,1.0],""sender"":""r00"",""t"":26.2,""t_ref"":0.0,""task_id"":""survey-14-0000"",""type"":""survey""}"
26.200,ANNOUNCE,survey-19-0005,r05,"{""deadline"":27.2,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,1.4000000000000001],""sender"":""r05"",""t"":26.2,""t_ref"":0.0,""task_id"":""survey-19-0005"",""type"":""survey""}"
26.500,DETECTED,roi-003,r05,"{""event_created_at"":26.23879813405387,""latency"":0.2612018659461306}"
26.500,ANNOUNCE,roi-003,r05,"{""deadline"":27.5,""duration"":15.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.6,""pos"":[0.3807653460044593,0.6107106984555178],""sender"":""r05"",""t"":26.5,""t_ref"":26.5,""task_id"":""roi-003"",""type"":""guard""}"
26.500,DETECTED,roi-000,r00,"{""event_created_at"":26.45620992830467,""latency"":0.04379007169533011}"
26.500,ANNOUNCE,roi-000,r00,"{""deadline"":27.5,""duration"":10.0,""k"":1.0,""lam"":0.00693,""n_req"":3,""p0"":0.8,""pos"":[0.5775014640114763,0.5133845385800002],""sender"":""r00"",""t"":26.5,""t_ref"":26.5,""task_id"":""roi-000"",""type"":""surround""}"
26.600,BID,roi-003,r00,"{""cost"":0.31925412641609385,""sender"":""r00"",""t"":26.6,""task_id"":""roi-003""}"
26.600,BID,roi-000,r00,"{""cost"":0.24400121811429204,""sender"":""r00"",""t"":26.6,""task_id"":""roi-000""}"
26.600,BID,roi-000,r01,"{""cost"":0.5168825223472024,""sender"":""r01"",""t"":26.6,""task_id"":""roi-000""}"
26.600,BID,roi-003,r02,"{""cost"":0.44940789979327456,""sender"":""r02"",""t"":26.6,""task_id"":""roi-003""}"
26.600,BID,roi-000,r02,"{""cost"":0.39229478846246657,""sender"":""r02"",""t"":26.6,""task_id"":""roi-000""}"
26.600,BID,roi-003,r03,"{""cost"":0.6269419672915002,""sender"":""r03"",""t"":26.6,""task_id"":""roi-003""}"
26.600,BID,roi-000,r03,"{""cost"":0.5707026758454721,""sender"":""r03"",""t"":26.6,""task_id"":""roi-000""}"
26.600,BID,roi-000,r04,"{""cost"":0.41489626451210987,""sender"":""r04"",""t"":26.6,""task_id"":""roi-000""}"
26.600,BID,roi-003,r05,"{""cost"":0.21875509886306693,""sender"":""r05"",""t"":26.6,""task_id"":""roi-003""}"
26.600,BID,roi-000,r05,"{""cost"":0.2836289667115448,""sender"":""r05"",""t"":26.6,""task_id"":""roi-000""}"
26.600,BID,roi-000,r06,"{""cost"":0.39643708234540825,""sender"":""r06"",""t"":26.6,""task_id"":""roi-000""}"
26.600,BID,roi-003,r06,"{""cost"":0.4541867440276447,""sender"":""r06"",""t"":26.6,""task_id"":""roi-003""}"
27.000,FAILED,survey-21-0007,r00,{}
27.000,ANNOUNCE,survey-00-0011,r00,"{""deadline"":28.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[0.2,0.2],""sender"":""r00"",""t"":27.0,""t_ref"":7.5,""task_id"":""survey-00-0011"",""type"":""survey""}"
27.000,FAILED,survey-22-0008,r01,{}
27.000,ANNOUNCE,survey-23-0009,r02,"{""deadline"":28.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.4000000000000001,1.8],""sender"":""r02"",""t"":27.0,""t_ref"":0.0,""task_id"":""survey-23-0009"",""type"":""survey""}"
27.000,ANNOUNCE,survey-24-0010,r03,"{""deadline"":28.0,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,1.8],""sender"":""r03"",""t"":27.0,""t_ref"":0.0,""task_id"":""survey-24-0010"",""type"":""survey""}"
27.000,FAILED,survey-20-0006,r06,{}
27.200,ANNOUNCE,survey-14-0000,r00,"{""deadline"":28.2,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,1.0],""sender"":""r00"",""t"":27.2,""t_ref"":0.0,""task_id"":""survey-14-0000"",""type"":""survey""}"
27.200,ANNOUNCE,survey-19-0005,r05,"{""deadline"":28.2,""duration"":2.0,""k"":1.0,""lam"":0.00693,""n_req"":1,""p0"":0.0,""pos"":[1.8,1.4000000000000001],""sender"":""r05"",""t"":27.2,""t_ref"":0.0,""task_id"":""survey-19-0005"",""type"":""survey""}"
27.500,AWARD,roi-000,r00,"{""sender"":""r00"",""t"":27.5,""task_id"":""roi-000"",""winners"":[""r00"",""r05"",""r02""]}"
27.500,AWARD,roi-003,r05,"{""sender"":""r05"",""t"":27.5,""task_id"":""roi-003"",""winners"":[""r05""]}"
