seed,strategy,events_injected,events_detected,roi_announced,roi_completed,roi_failed,roi_open_end,completion_rate,detection_rate,mean_completion_time,median_completion_time,coverage_fraction,coverage_cells_per_s,load_imbalance,messages_per_completed,bytes_per_completed,messages_total,bytes_total,mean_cell_idleness,max_cell_idleness,mean_detection_latency,preemptions,mean_final_battery,min_final_battery,battery_imbalance,depleted_robots,first_depletion_time,distance_travelled,max_observed_workload,n_req_violations,conservation_error,quality_score
1004,nearest_greedy,28,28,28,25,0,3,0.8928571428571429,1.0,36.068,32.19999999999999,1.0,5.333333333333333,2.060315014550851,35.36,5075.24,884,126881,21.06625623960067,169.0,11.055391529042845,0,0.49331017142850353,0.13650239999997932,0.2468903013487078,0,300.0,83.91199999999697,3,0,0,0.8340035101652424
1004,nearest_greedy_no_survey,28,27,27,23,0,4,0.8214285714285714,0.9642857142857143,26.543478260869566,21.19999999999999,1.0,5.333333333333333,3.1036515689143473,11.217391304347826,1076.6521739130435,258,24763,19.469783693843606,185.0,19.299881642868243,0,0.4789254857142124,0.13199039999997947,0.23444652336752952,0,300.0,94.62399999999579,3,0,0,0.7652467043531116
1004,random_assignment,28,28,28,24,0,4,0.8571428571428571,1.0,42.699999999999996,39.2,0.9725,5.1866666666666665,1.9587584572574412,38.833333333333336,5939.75,932,142554,33.5573710482529,300.0,7.358962957614273,0,0.5046331428570795,0.13657759999997932,0.2429160748739477,0,300.0,75.47999999999789,3,0,0,0.822153666290748
1005,market,28,28,28,27,0,1,0.9642857142857143,1.0,33.08148148148148,24.0,1.0,5.333333333333333,1.7612611437054218,40.03703703703704,5913.259259259259,1081,159658,43.214009983361045,272.5,9.619748781889726,25,0.506566857142791,0.16485279999997837,0.24365959820381775,0,300.0,74.039999999998,2,0,0,0.8643359321598381
1005,nearest_greedy,28,27,27,26,0,1,0.9285714285714286,0.9642857142857143,53.63461538461539,51.75,0.951875,5.076666666666667,1.385051387833237,37.0,5791.346153846154,962,150575,41.11494176372713,300.0,10.206213836813467,0,0.5288367999999463,0.16590559999997834,0.2501088217937266,0,300.0,57.455999999999385,3,0,0,0.8584526053133553
1005,nearest_greedy_no_survey,28,26,26,23,1,2,0.8214285714285714,0.9285714285714286,49.960869565217386,52.19999999999999,0.999375,5.33,2.641891715558133,9.956521739130435,979.8260869565217,229,22536,36.56831946755411,287.0,10.666110934007472,0,0.5163321142856563,0.08950239999998762,0.25381306216866684,0,300.0,66.7679999999977,3,0,0,0.7729532050688647
1005,random_assignment,28,26,26,26,0,0,0.9285714285714286,0.9285714285714286,38.6576923076923,36.55,0.949375,5.0633333333333335,1.3997084244475304,38.23076923076923,5866.961538461538,994,152541,39.41710482529121,300.0,6.854155847546844,0,0.5099830857142262,0.14063839999997918,0.2530812553571154,0,300.0,71.49599999999826,3,0,0,0.859412543388986
1006,market,28,27,27,24,0,3,0.8571428571428571,0.9642857142857143,40.50833333333333,30.85,1.0,5.333333333333333,0.7284313590846836,43.083333333333336,6736.625,1034,161679,35.049018302828614,292.5,25.05058140160607,25,0.5242173714285168,0.13755519999997928,0.25069905706429807,0,300.0,60.895999999999255,3,0,0,0.8698694920060326
1006,nearest_greedy,28,25,25,23,0,2,0.8214285714285714,0.8928571428571429,64.57826086956521,68.9,0.953125,5.083333333333333,1.4568627181693672,39.43478260869565,6589.260869565217,907,151553,53.597670549084846,300.0,7.078512968028528,0,0.5340900571428037,0.18252479999997778,0.24593632568904789,0,300.0,53.54399999999958,3,0,0,0.8101676128067783
1006,nearest_greedy_no_survey,28,28,28,28,0,0,1.0,1.0,32.796428571428564,26.75,1.0,5.333333333333333,1.1605769149479943,10.107142857142858,964.2142857142857,283,26998,29.043627287853578,223.5,9.198743359653319,0,0.510509485714223,0.15673119999997864,0.24265967022521606,0,300.0,71.10399999999838,3,0,0,0.9049629800605933
1006,random_assignment,28,24,24,19,1,4,0.6785714285714286,0.8571428571428571,82.04736842105264,83.80000000000001,0.86,4.586666666666667,0.7559289460184545,47.36842105263158,7910.8421052631575,900,150306,64.21311148086522,300.0,13.278875026510072,0,0.5336495999999451,0.18139679999997782,0.24091962453593416,0,300.0,53.87199999999965,3,0,0,0.7790002160815818
1007,market,28,27,27,25,0,2,0.8928571428571429,0.9642857142857143,30.507999999999996,28.099999999999994,0.99875,5.326666666666667,1.8294640678379568,40.96,6046.68,1024,151167,30.22183028286191,292.5,11.865046560985213,27,0.5110681142856578,0.14409759999997906,0.25762305824428455,0,300.0,70.68799999999823,3,0,0,0.8403740181529964
1007,nearest_greedy,28,28,28,23,0,5,0.8214285714285714,1.0,39.743478260869566,36.5,0.98375,5.246666666666667,2.5475077857324298,40.130434782608695,6193.0,923,142439,30.405590682196365,210.0,20.364686951028798,0,0.51951199999994,0.1850815999999777,0.23475534216118385,0,300.0,64.39999999999873,3,0,0,0.7863050224349677
1007,nearest_greedy_no_survey,28,27,27,22,0,5,0.7857142857142857,0.9642857142857143,37.89090909090909,29.699999999999996,1.0,5.333333333333333,2.9137254363387344,11.681818181818182,1128.6818181818182,257,24831,23.73291181364394,151.0,17.44588672889316,0,0.5153545142856469,0.16289759999997844,0.21922636874483575,0,300.0,67.49599999999842,3,0,0,0.7600068491681296
1007,random_assignment,28,28,28,23,0,5,0.8214285714285714,1.0,54.08260869565217,48.099999999999994,0.970625,5.176666666666667,1.2936264483053452,41.43478260869565,6500.478260869565,953,149511,38.85524126455907,300.0,17.54325837960023,0,0.5205325714285144,0.1850063999999777,0.2448854688733411,0,300.0,63.63999999999888,3,0,0,0.8330629556435235
1008,market,28,28,28,23,0,5,0.8214285714285714,1.0,62.369565217391305,58.5,0.98,5.226666666666667,1.2453996981544782,45.69565217391305,7372.0,1051,169556,56.31391014975041,288.5,32.23053966499329,21,0.5410836571428078,0.16154399999997848,0.25075784510155347,0,300.0,48.33600000000003,3,0,0,0.8257811244734337
1008,nearest_greedy,28,27,27,22,0,5,0.7857142857142857,0.9642857142857143,41.29090909090909,30.799999999999997,0.986875,5.263333333333334,1.8294640678379568,45.5,7081.681818181818,1001,155797,45.38186356073213,292.5,26.97290449045624,0,0.53053417142852,0.17981759999997787,0.2554017682054666,0,300.0,56.19199999999915,3,0,0,0.797448568446004
1008,nearest_greedy_no_survey,28,28,28,24,0,4,0.8571428571428571,1.0,60.6875,59.10000000000002,1.0,5.333333333333333,1.3093073414159544,10.375,1014.5416666666666,249,24349,39.59101497504155,203.5,20.21268252213614,0,0.5276443428570888,0.15876159999997858,0.24815100385094357,0,300.0,58.34399999999964,3,0,0,0.8419088392622326
1008,random_assignment,28,27,27,23,1,3,0.8214285714285714,0.9642857142857143,72.59130434782608,66.4,0.975,5.2,1.665986255670086,41.391304347826086,6740.304347826087,952,155027,55.742296173044906,292.5,11.806237823789575,0,0.5233794285713703,0.1517679999999788,0.23755260855308186,0,300.0,61.51999999999915,3,0,0,0.8045602007407838
1009,market,28,27,27,27,0,0,0.9642857142857143,0.9642857142857143,30.988888888888887,24.69999999999999,0.99875,5.326666666666667,1.2777531299998799,37.22222222222222,5316.851851851852,1005,143555,21.937504159733795,210.5,12.372040256205706,22,0.488357714285644,0.1343215999999794,0.24144168538105362,0,300.0,87.59999999999656,2,0,0,0.886242382867995
1009,nearest_greedy,28,27,27,27,0,0,0.9642857142857143,0.9642857142857143,38.38518518518518,29.899999999999977,1.0,5.333333333333333,2.0503857277724746,35.51851851851852,5160.962962962963,959,139346,22.741530782029944,197.0,13.890558774724225,0,0.5021622857142152,0.17793759999997794,0.22529800527731533,0,300.0,77.31999999999749,3,0,0,0.8508481256348994
1009,nearest_greedy_no_survey,28,26,26,22,0,4,0.7857142857142857,0.9285714285714286,34.163636363636364,24.650000000000002,1.0,5.333333333333333,1.8516401995451028,13.0,1250.5,286,27511,33.42206322795342,287.5,14.515894532232538,0,0.5053314285713622,0.1607919999999785,0.23207921701528106,0,300.0,74.95999999999705,3,0,0,0.8007945204085432
1009,random_assignment,28,28,28,27,0,1,0.9642857142857143,1.0,40.766666666666666,37.099999999999994,1.0,5.333333333333333,1.5779087167410373,33.407407407407405,4937.740740740741,902,133319,29.304692179700467,289.0,12.833113598237,0,0.48908822857136386,0.09506719999999373,0.2551221277160759,0,300.0,87.05599999999662,3,0,0,0.8717175997823166
1010,market,28,27,27,24,0,3,0.8571428571428571,0.9642857142857143,30.870833333333334,23.700000000000003,1.0,5.333333333333333,1.511857892036909,43.75,6327.75,1050,151866,33.62605657237932,289.0,18.639356925798424,29,0.5056537142856546,0.10326399999998462,0.25661292090326104,0,300.0,74.7199999999979,2,0,0,0.8404537951472214
1010,nearest_greedy,28,28,28,27,0,1,0.9642857142857143,1.0,44.666666666666664,40.5,1.0,5.333333333333333,1.2777531299998799,33.25925925925926,5009.111111111111,898,135246,34.562163061564064,292.5,8.636515686868965,0,0.5158486857142276,0.1428943999999791,0.24996801622232412,0,300.0,67.1279999999988,3,0,0,0.8841966474439507
