lambda_factor,seed,strategy,events_injected,events_detected,roi_announced,roi_completed,roi_failed,roi_open_end,completion_rate,detection_rate,mean_completion_time,median_completion_time,coverage_fraction,coverage_cells_per_s,load_imbalance,messages_per_completed,bytes_per_completed,messages_total,bytes_total,mean_cell_idleness,max_cell_idleness,mean_detection_latency,preemptions,mean_final_battery,min_final_battery,battery_imbalance,depleted_robots,first_depletion_time,distance_travelled,max_observed_workload,n_req_violations,conservation_error
3.0,20001,market,28,23,23,19,0,4,0.6785714285714286,0.8214285714285714,56.03157894736843,33.5,0.94375,5.033333333333333,1.8516401995451028,63.21052631578947,10844.473684210527,1201,206045,62.07364392678874,300.0,60.69435229051364,27,0.5473897142856697,0.1823743999999778,0.25178258567279915,0,300.0,43.639999999999915,3,0,0
3.0,20002,market,28,28,28,25,0,3,0.8928571428571429,1.0,43.348,31.100000000000023,0.98375,5.246666666666667,1.1605769149479943,50.84,8140.92,1271,203523,32.83833610648917,298.5,50.1708076791482,33,0.5046009142856511,0.12499679999997972,0.2481237541124005,0,300.0,75.50399999999789,3,0,0
3.0,20003,market,28,27,27,26,0,1,0.9285714285714286,0.9642857142857143,39.93076923076923,28.30000000000001,0.999375,5.33,1.7612611437054218,47.96153846153846,8058.5,1247,209521,44.648985024958414,275.0,58.4598146183322,28,0.5259254857142286,0.15116639999997883,0.24486295829125848,0,300.0,59.62399999999954,2,0,0
3.0,20004,market,28,28,28,25,0,3,0.8928571428571429,1.0,37.716,31.9,0.94,5.013333333333334,1.0301575072754254,49.8,8319.2,1245,207980,45.36422628951744,281.5,36.5905419823339,34,0.5256569142856565,0.1580095999999786,0.24552129356301053,0,300.0,59.82399999999956,3,0,0
3.0,20005,market,28,28,28,28,0,0,1.0,1.0,32.03928571428572,29.85000000000001,1.0,5.333333333333333,0.8806305718527109,45.535714285714285,7499.928571428572,1275,209998,29.800732113144768,201.0,52.83026298588029,33,0.508425371428506,0.14259359999997911,0.23960798536651692,0,300.0,72.6559999999982,2,0,0
3.0,20006,market,28,26,26,24,0,2,0.8571428571428571,0.9285714285714286,49.729166666666664,47.25,0.9975,5.32,1.3997084244475304,47.875,8066.708333333333,1149,193601,61.39580698835272,288.5,47.638827183794405,20,0.525409828571371,0.15282079999997877,0.24478578552389688,0,300.0,60.00799999999951,3,0,0
3.0,20007,market,28,25,25,23,0,2,0.8214285714285714,0.8928571428571429,25.704347826086952,20.19999999999999,0.99625,5.3133333333333335,1.385051387833237,53.17391304347826,8629.565217391304,1223,198480,31.137836938435946,214.0,35.773219727607,29,0.50174331428565,0.14056319999997918,0.24716606125360926,0,300.0,77.63199999999766,3,0,0
3.0,21000,market,28,28,28,25,0,3,0.8928571428571429,1.0,34.624,32.0,1.0,5.333333333333333,0.989743318610787,50.0,8170.72,1250,204268,32.59647254575707,229.0,55.83699922165035,29,0.5138182857142257,0.1214623999999804,0.24858477611753926,0,300.0,68.63999999999854,3,0,0
3.0,21001,market,28,26,26,26,0,0,0.9285714285714286,0.9285714285714286,31.01923076923077,19.80000000000001,0.975625,5.203333333333333,1.9587584572574412,45.84615384615385,7116.538461538462,1192,185030,27.0875873544093,300.0,23.58735524384002,26,0.4986923428570771,0.10755039999998434,0.2461961524468165,0,300.0,79.90399999999741,3,0,0
3.0,21002,market,28,28,28,28,0,0,1.0,1.0,48.31428571428571,32.099999999999994,1.0,5.333333333333333,1.385051387833237,43.92857142857143,7263.178571428572,1230,203369,40.289550748752056,288.5,22.68217360250825,32,0.5171378285713678,0.1398111999999792,0.23983156494631389,0,300.0,66.16799999999873,3,0,0
3.0,21003,market,28,28,28,28,0,0,1.0,1.0,30.04285714285714,24.650000000000006,1.0,5.333333333333333,1.3997084244475304,44.42857142857143,7265.892857142857,1244,203445,30.672479201331086,249.5,41.62149062765093,28,0.5064594285713628,0.13168959999997948,0.24315297328182173,0,300.0,74.11999999999796,3,0,0
3.0,21004,market,28,25,25,25,0,0,0.8928571428571429,0.8928571428571429,41.46,30.5,0.999375,5.33,0.9035079029052513,48.56,7821.28,1214,195532,40.919467554076576,288.5,44.16177487542664,25,0.508983999999933,0.17387679999997807,0.23133764302364482,0,300.0,72.23999999999809,2,0,0
3.0,21005,market,28,24,24,23,0,1,0.8214285714285714,0.8571428571428571,46.44782608695652,35.400000000000006,0.99625,5.3133333333333335,1.2777531299998799,53.08695652173913,8798.565217391304,1221,202367,37.94342762063227,288.5,41.374012747257325,27,0.5106598857142236,0.11537119999998442,0.2465488399425663,0,300.0,70.99199999999838,3,0,0
3.0,21006,market,22,21,21,20,0,1,0.9090909090909091,0.9545454545454546,34.555,30.700000000000003,1.0,5.333333333333333,1.0497813183356477,57.15,9508.3,1143,190166,32.68915141430945,267.5,28.50335538887906,26,0.50673874285708,0.15267039999997878,0.2490680618025991,0,300.0,73.91199999999806,2,0,0
3.0,21007,market,28,22,22,20,0,2,0.7142857142857143,0.7857142857142857,53.015,29.700000000000003,0.945,5.04,1.2936264483053452,56.2,9772.2,1124,195444,40.64389351081526,300.0,13.510678584218924,21,0.5261403428570882,0.14093919999997917,0.2570335641418084,0,300.0,59.4639999999992,3,0,0
3.0,21008,market,28,27,27,26,0,1,0.9285714285714286,0.9642857142857143,27.799999999999997,22.950000000000003,0.97375,5.193333333333333,1.0497813183356477,45.11538461538461,7151.923076923077,1173,185950,32.565490848585654,300.0,27.39838980584021,24,0.4968123428570757,0.12943359999997955,0.24612074835712033,0,300.0,81.3039999999971,3,0,0
3.0,21009,market,28,26,26,21,0,5,0.75,0.9285714285714286,68.4047619047619,63.8,0.969375,5.17,0.6998542122237652,54.857142857142854,9613.57142857143,1152,201885,68.43610648918471,300.0,41.99889109194362,17,0.5467129142856703,0.18598399999997767,0.25312711220455486,0,300.0,44.14399999999989,3,0,0
3.0,21010,market,28,28,28,24,0,4,0.8571428571428571,1.0,30.72083333333333,26.449999999999996,1.0,5.333333333333333,1.0497813183356477,51.583333333333336,8499.875,1238,203997,33.48089850249585,258.0,62.93430466073677,26,0.5042034285713657,0.17086879999997817,0.2446803582010394,0,300.0,75.79999999999774,3,0,0
3.0,21011,market,28,26,26,23,0,3,0.8214285714285714,0.9285714285714286,45.27391304347826,31.5,0.95625,5.1,1.3997084244475304,52.21739130434783,8510.782608695652,1201,195748,34.04316139767057,300.0,27.547845233817807,26,0.5124002285713692,0.10175999999998554,0.2523721902196336,0,300.0,69.69599999999853,2,0,0
